frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"5251","Nov  5, 2020 19:27:35.970031000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5252","Nov  5, 2020 19:27:36.584384000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5253","Nov  5, 2020 19:27:39.042011000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5254","Nov  5, 2020 19:27:39.656405000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5255","Nov  5, 2020 19:27:41.909225000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5256","Nov  5, 2020 19:27:42.728422000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5257","Nov  5, 2020 19:27:44.981237000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5258","Nov  5, 2020 19:27:45.595621000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5259","Nov  5, 2020 19:27:48.054660000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5260","Nov  5, 2020 19:27:48.667612000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5261","Nov  5, 2020 19:27:50.512255000 Eastern Standard Time","2c:64:1f:03:27:9a","01:00:5e:00:00:fb","192.168.11.103","224.0.0.251","17"
"5262","Nov  5, 2020 19:27:50.518623000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"5263","Nov  5, 2020 19:27:50.920450000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5264","Nov  5, 2020 19:27:51.739656000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5265","Nov  5, 2020 19:27:53.992268000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"5266","Nov  5, 2020 19:27:54.606861000 Eastern Standard Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"5267","Nov  5, 2020 19:27:56.448967000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"5268","Nov  5, 2020 19:27:56.450944000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"5269","Nov  5, 2020 19:27:56.457318000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"5270","Nov  5, 2020 19:27:56.457319000 Eastern Standard Time","1c:f2:9a:46:fd:ab","01:00:5e:00:00:fb","192.168.11.146","224.0.0.251","17"
"5271","Nov  5, 2020 19:27:56.656283000 Eastern Standard Time","2c:64:1f:03:27:9a","01:00:5e:00:00:fb","192.168.11.103","224.0.0.251","17"
"5272","Nov  5, 2020 19:27:56.660512000 Eastern Standard Time","2c:64:1f:03:27:9a","01:00:5e:00:00:fb","192.168.11.103","224.0.0.251","17"
"5273","Nov  5, 2020 19:27:56.660513000 Eastern Standard Time","2c:64:1f:03:27:9a","01:00:5e:00:00:fb","192.168.11.103","224.0.0.251","17"
"5274","Nov  5, 2020 19:27:57.064615000 Eastern Standard Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
